region,rubric,count,rank
Калининградская область,Быстрое питание,68,8.0
Калининградская область,Доставка еды и обедов,62,9.0
Калуга,Ресторан,245,1.0
Калуга,Гостиница,206,2.0
Калуга,Кафе,202,3.0
Калуга,Магазин продуктов,84,4.0
Калуга,Салон красоты,81,5.0
Калуга,Быстрое питание,73,6.0
Калуга,Супермаркет,72,7.0
Калуга,"Бар, паб",64,8.0
Калуга,Торговый центр,54,9.0
Калужская обл.,Быстрое питание,3,1.0
Калужская обл.,Пиццерия,3,2.0
Калужская обл.,Гостиница,2,3.0
Калужская обл.,Кафе,2,4.0
Калужская обл.,Кофейня,2,5.0
Калужская обл.,Магазин продуктов,2,6.0
Калужская обл.,Супермаркет,2,7.0
Калужская обл.,"АГНС, АГЗС, АГНКС",1,8.0
Калужская обл.,АЗС,1,9.0
Калужская область,Ресторан,217,1.0
Калужская область,Кафе,209,2.0
Калужская область,Гостиница,154,3.0
Калужская область,Супермаркет,90,4.0
Калужская область,Салон красоты,79,5.0
Калужская область,Магазин продуктов,78,6.0
Калужская область,"Бар, паб",76,7.0
Калужская область,Парк культуры и отдыха,66,8.0
Калужская область,Быстрое питание,64,9.0
Камчатский край,Кафе,67,1.0
Камчатский край,Ресторан,47,2.0
Камчатский край,Гостиница,40,3.0
Камчатский край,"Бар, паб",24,4.0
Камчатский край,Супермаркет,19,5.0
Камчатский край,Магазин продуктов,18,6.0
Камчатский край,Доставка еды и обедов,14,7.0
Камчатский край,Быстрое питание,12,8.0
Камчатский край,Салон красоты,11,9.0
Карачаево-Черкесская Республика,Кафе,111,1.0
Карачаево-Черкесская Республика,Ресторан,104,2.0
Карачаево-Черкесская Республика,Гостиница,92,3.0
Карачаево-Черкесская Республика,Магазин продуктов,57,4.0
Карачаево-Черкесская Республика,Быстрое питание,49,5.0
Карачаево-Черкесская Республика,Супермаркет,49,6.0
Карачаево-Черкесская Республика,Музей,43,7.0
Карачаево-Черкесская Республика,Салон красоты,36,8.0
Карачаево-Черкесская Республика,"Бар, паб",30,9.0
Карачаевск,Гостиница,6,1.0
Карачаевск,Кафе,2,2.0
Карачаевск,Магазин продуктов,2,3.0
Карачаевск,"Автосервис, автотехцентр",1,4.0
Карачаевск,Аренда строительной и спецтехники,1,5.0
Карачаевск,Аттракцион,1,6.0
Карачаевск,Банкетный зал,1,7.0
Карачаевск,"Бар, паб",1,8.0
Карачаевск,Быстрое питание,1,9.0
Карачаевский район,"Медцентр, клиника",4,1.0
Карачаевский район,Гинекологическая клиника,3,2.0
Карачаевский район,Мебель для кухни,3,3.0
Карачаевский район,Мебель на заказ,3,4.0
Карачаевский район,Медицинская лаборатория,3,5.0
Карачаевский район,Пиццерия,3,6.0
Карачаевский район,Ресторан,3,7.0
Карачаевский район,Урологический центр,3,8.0
Карачаевский район,Магазин мебели,2,9.0
Кемерово,Ресторан,119,1.0
Кемерово,Кафе,114,2.0
Кемерово,Гостиница,92,3.0
Кемерово,Салон красоты,45,4.0
Кемерово,Быстрое питание,39,5.0
Кемерово,"Бар, паб",38,6.0
Кемерово,Магазин продуктов,32,7.0
Кемерово,Супермаркет,32,8.0
Кемерово,Кофейня,28,9.0
Кемеровская область,Кафе,225,1.0
Кемеровская область,Ресторан,224,2.0
Кемеровская область,Гостиница,180,3.0
Кемеровская область,"Бар, паб",76,4.0
